scenario,endpoint,controls,K,alpha_family,power_family,delta_endpoint,standardized_excess_d,n_evaluable,n_screened_loss_10,n_screened_loss_15,n_screened_loss_20,n_screened_loss_30,note
month3_development,psi_mag,2,2,0.10,0.80,0.20,0.15,381,424,449,477,545,conditional one-sided magnitude-component union-bound planning
month3_development,psi_mag,2,2,0.10,0.80,0.20,0.20,215,239,253,269,308,conditional one-sided magnitude-component union-bound planning
month3_development,psi_mag,2,2,0.10,0.80,0.20,0.25,138,154,163,173,198,least-favourable component mu=0.45 sigma=1
month3_development,psi_mag,2,2,0.10,0.80,0.20,0.30,96,107,113,120,138,conditional one-sided magnitude-component union-bound planning
month3_development,psi_mag,2,2,0.10,0.80,0.20,0.40,54,60,64,68,78,conditional one-sided magnitude-component union-bound planning
confirmatory_two_controls,psi_mag,2,2,0.025,0.90,0.20,0.15,672,747,791,840,960,conditional one-sided magnitude-component union-bound planning
confirmatory_two_controls,psi_mag,2,2,0.025,0.90,0.20,0.20,378,420,445,473,540,conditional one-sided magnitude-component union-bound planning
confirmatory_two_controls,psi_mag,2,2,0.025,0.90,0.20,0.25,242,269,285,303,346,least-favourable component mu=0.45 sigma=1
confirmatory_two_controls,psi_mag,2,2,0.025,0.90,0.20,0.30,168,187,198,210,240,conditional one-sided magnitude-component union-bound planning
confirmatory_two_controls,psi_mag,2,2,0.025,0.90,0.20,0.40,95,106,112,119,136,conditional one-sided magnitude-component union-bound planning
confirmatory_four_controls,psi_mag,4,4,0.025,0.90,0.20,0.15,884,983,1040,1105,1263,conditional one-sided magnitude-component union-bound planning
confirmatory_four_controls,psi_mag,4,4,0.025,0.90,0.20,0.20,497,553,585,622,710,conditional one-sided magnitude-component union-bound planning
confirmatory_four_controls,psi_mag,4,4,0.025,0.90,0.20,0.25,318,354,375,398,455,least-favourable component mu=0.45 sigma=1
confirmatory_four_controls,psi_mag,4,4,0.025,0.90,0.20,0.30,221,246,260,277,316,conditional one-sided magnitude-component union-bound planning
confirmatory_four_controls,psi_mag,4,4,0.025,0.90,0.20,0.40,125,139,148,157,179,conditional one-sided magnitude-component union-bound planning
month3_primary_advantage,A_psi,2,1,0.10,0.80,0.10,0.15,201,224,237,252,288,one pre-specified uncertainty-vs-deterministic comparison
month3_primary_advantage,A_psi,2,1,0.10,0.80,0.10,0.20,113,126,133,142,162,one pre-specified uncertainty-vs-deterministic comparison
month3_primary_advantage,A_psi,2,1,0.10,0.80,0.10,0.25,73,82,86,92,105,one pre-specified uncertainty-vs-deterministic comparison
month3_primary_advantage,A_psi,2,1,0.10,0.80,0.10,0.30,51,57,60,64,73,one pre-specified uncertainty-vs-deterministic comparison
confirmatory_primary_advantage,A_psi,2,1,0.025,0.90,0.10,0.15,467,519,550,584,668,one pre-specified uncertainty-vs-deterministic comparison
confirmatory_primary_advantage,A_psi,2,1,0.025,0.90,0.10,0.20,263,293,310,329,376,one pre-specified uncertainty-vs-deterministic comparison
confirmatory_primary_advantage,A_psi,2,1,0.025,0.90,0.10,0.25,169,188,199,212,242,one pre-specified uncertainty-vs-deterministic comparison
confirmatory_primary_advantage,A_psi,2,1,0.025,0.90,0.10,0.30,117,130,138,147,168,one pre-specified uncertainty-vs-deterministic comparison
