metric_code,record_scope,kind,slot,logical_type,width_bytes,applicability,state_semantics,storage_action,occurrence_formula,aggregate_rule,failure_semantics,status
common.header.cell_index,outer_header,common,prefix,U32,4,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,immutable_catalogue_reference,freeze_candidate
common.header.outer_index,outer_header,common,prefix,U32,4,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,zero_based_outer_identity,freeze_candidate
common.header.scientific_status,outer_header,common,prefix,ENUM16,2,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,deterministic_status_precedence,freeze_candidate
common.header.primary_failure,outer_header,common,prefix,ENUM16,2,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,first_scientific_failure_only,freeze_candidate
common.header.failure_component_mask,outer_header,common,prefix,U64,8,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,all_reached_component_failures,freeze_candidate
common.header.event_mask,outer_header,common,prefix,U64,8,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,gate_and_operating_events_only,freeze_candidate
common.header.undefined_bootstrap_count,outer_header,common,prefix,U16,2,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,0_to_9999;all_resamples_consumed,freeze_candidate
common.header.registry_version,outer_header,common,prefix,U16,2,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,immutable_registry_version,freeze_candidate
common.header.execution_provenance_key,outer_header,common,prefix,U64,8,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,deterministic_join_key=(cell_index<<32)|outer_index;mutable_attempt_retry_and_infrastructure_provenance_lives_only_in_execution_attempt_sidecar,freeze_candidate
common.header.payload_digest,outer_header,common,prefix,BYTES32,32,every_emitted_outer_identity;no_reliability_outer_record_when_I_R3=0,not_state_masked;field_specific_enum_or_integer_contract,persist,sum_rel_cells(M_c)+sum_mv_cells(M_c);0<=M_c<=R_unique_integrity_valid_committed_outer_identities,identity_or_provenance;not_a_scientific_estimate,sha256_of_exact_336_or_600_byte_uncompressed_record_with_this_digest_slot_canonical_zero,freeze_candidate
