scope,metric,value,unit,bound_type,assumption_scope
reliability,axis_count,15,axes,exact,canonical_grid
reliability,category_count_sum,39,axis_categories,exact,canonical_grid
reliability,candidate_cell_count,10847,cells,exact,clarified_union
reliability,planning_cell_count,4416,cells,exact,literal_planning_cartesian
reliability,reference_family_count,15,cells,exact,family_membership
reliability,one_factor_family_count,645,cells,exact,family_membership
reliability,adversarial_family_count,5984,cells,exact,family_membership
reliability,planning_family_count,4416,cells,exact,family_membership
reliability,attempted_insertions,11135,insertions,exact,enumerator
reliability,deduplicated_insertions,288,insertions,exact,canonical_id
reliability,multi_family_cell_count,198,cells,exact,family_provenance
reliability,manifest_sha256,4823bd2f52547673c173aec89ecd3b3c1d416769ee9abde9e3b71bb1fb0245d6,sha256,exact,sorted_ids_newline_terminated
reliability,canonical_id_payload_bytes,4429304,bytes,exact,utf8_ids_plus_newlines
reliability,cell_item_count,1540580,cell_items,exact,axis_specific_included_items
reliability,planning_cell_item_count,622720,cell_items,exact,axis_specific_included_items
reliability,outer_dataset_count,1301640000,outer_datasets,exact,all_candidates_fixed_count
reliability,planning_outer_dataset_count,529920000,outer_datasets,exact,planning_cells_fixed_count
reliability,nested_bootstrap_analysis_count,13015098360000,bootstrap_analyses,exact,all_candidates_fixed_count
reliability,planning_nested_bootstrap_analysis_count,5298670080000,bootstrap_analyses,exact,planning_cells_fixed_count
reliability,bootstrap_index_word_count,1848511130400000,uint64_words,exact,fixed_stratified_cluster_resamples
reliability,planning_bootstrap_index_word_count,747189273600000,uint64_words,exact,fixed_stratified_cluster_resamples
reliability,quadrature_node_evaluation_count,1106394,node_evaluations,exact,two_declared_orders_per_cell
reliability_axis,image_technical_candidate_cells,833,cells,exact,K=3;N=150
reliability_axis,image_technical_planning_cells,320,cells,exact,K=3;N=150
reliability_axis,image_coverage_candidate_cells,833,cells,exact,K=3;N=150
reliability_axis,image_coverage_planning_cells,320,cells,exact,K=3;N=150
reliability_axis,image_semantic_candidate_cells,833,cells,exact,K=3;N=150
reliability_axis,image_semantic_planning_cells,320,cells,exact,K=3;N=150
reliability_axis,image_polarity_candidate_cells,537,cells,exact,K=2;N=90
reliability_axis,image_polarity_planning_cells,256,cells,exact,K=2;N=90
reliability_axis,text_integrity_candidate_cells,1193,cells,exact,K=4;N=150
reliability_axis,text_integrity_planning_cells,384,cells,exact,K=4;N=150
reliability_axis,text_target_polarity_candidate_cells,1193,cells,exact,K=4;N=150
reliability_axis,text_target_polarity_planning_cells,384,cells,exact,K=4;N=150
reliability_axis,text_commitment_candidate_cells,833,cells,exact,K=3;N=130
reliability_axis,text_commitment_planning_cells,320,cells,exact,K=3;N=130
reliability_axis,text_interpretation_candidate_cells,833,cells,exact,K=3;N=150
reliability_axis,text_interpretation_planning_cells,320,cells,exact,K=3;N=150
reliability_axis,text_derived_polarity_candidate_cells,537,cells,exact,K=2;N=80
reliability_axis,text_derived_polarity_planning_cells,256,cells,exact,K=2;N=80
reliability_axis,pair_atomicity_candidate_cells,537,cells,exact,K=2;N=150
reliability_axis,pair_atomicity_planning_cells,256,cells,exact,K=2;N=150
reliability_axis,pair_preservation_candidate_cells,537,cells,exact,K=2;N=150
reliability_axis,pair_preservation_planning_cells,256,cells,exact,K=2;N=150
reliability_axis,pair_fluency_candidate_cells,537,cells,exact,K=2;N=150
reliability_axis,pair_fluency_planning_cells,256,cells,exact,K=2;N=150
reliability_axis,pair_plausibility_candidate_cells,537,cells,exact,K=2;N=150
reliability_axis,pair_plausibility_planning_cells,256,cells,exact,K=2;N=150
reliability_axis,pair_nonsemantic_cues_candidate_cells,537,cells,exact,K=2;N=150
reliability_axis,pair_nonsemantic_cues_planning_cells,256,cells,exact,K=2;N=150
reliability_axis,pair_global_candidate_cells,537,cells,exact,K=2;N=150
reliability_axis,pair_global_planning_cells,256,cells,exact,K=2;N=150
reliability,dgp_raw_word_count_lower,1801581600000,uint64_words,lower_bound,first_pass_only;repeat_and_ambiguity_schedule_not_frozen_per_axis
reliability,dgp_raw_word_count_upper,2389453200000,uint64_words,upper_bound,all_axis_items_get_ambiguity_draw;all_instrument_repeats_consumed
reliability,planning_dgp_raw_word_count_lower,711398400000,uint64_words,lower_bound,first_pass_only
reliability,planning_dgp_raw_word_count_upper,946759680000,uint64_words,upper_bound,all_axis_items_get_ambiguity_draw;all_instrument_repeats_consumed
mv1,candidate_cell_count,2438,cells,exact,precalibration_union
mv1,outer_eligible_cell_count,not_identifiable,cells,unresolved,requires_forbidden_calibration
mv1,planning_candidate_cell_count,2304,cells,exact,precalibration_planning_region
mv1,reference_family_count,1,cells,exact,family_membership
mv1,one_factor_family_count,37,cells,exact,family_membership
mv1,null_boundary_family_count,108,cells,exact,family_membership
mv1,asymmetric_family_count,8,cells,exact,family_membership
mv1,planning_family_count,2304,cells,exact,family_membership
mv1,attempted_insertions,2469,insertions,exact,enumerator
mv1,deduplicated_insertions,31,insertions,exact,canonical_id
mv1,multi_family_cell_count,19,cells,exact,family_provenance
mv1,manifest_sha256,1cacee1ebe5aa7b43d37a09d39285a9637c6c274012a7335998bb707bd7ee8c7,sha256,exact,sorted_ids_newline_terminated
mv1,canonical_id_payload_bytes,993701,bytes,exact,utf8_ids_plus_newlines
mv1,n128_candidate_cell_count,55,cells,exact,precalibration_union
mv1,n150_candidate_cell_count,2383,cells,exact,precalibration_union
mv1,candidate_unit_count_per_cell_sweep,728980,candidates,exact,two_screen_strata
mv1,outer_dataset_count,292560000,outer_datasets,upper_bound,all_candidate_cells_calibrate
mv1,planning_outer_dataset_count,276480000,outer_datasets,upper_bound,all_planning_candidates_calibrate
mv1,nested_bootstrap_analysis_count,2925307440000,bootstrap_analyses,upper_bound,all_candidate_cells_outer_eligible
mv1,planning_nested_bootstrap_analysis_count,2764523520000,bootstrap_analyses,upper_bound,all_planning_cells_outer_eligible
mv1,bootstrap_index_word_count,874688522400000,uint64_words,upper_bound,every_candidate_evaluable_in_every_outer_replication
mv1,planning_bootstrap_index_word_count,829357056000000,uint64_words,upper_bound,every_candidate_evaluable_in_every_outer_replication
mv1,calibration_raw_words_per_candidate_cell,335544320,uint64_words,upper_bound,both_polarities_calibration_plus_validation_streams
mv1,calibration_raw_word_count,818057052160,uint64_words,upper_bound,every_candidate_reaches_validation
mv1,planning_calibration_raw_word_count,773094113280,uint64_words,upper_bound,every_planning_candidate_reaches_validation
mv1,calibration_vector_evaluations_per_pass_cell,185904136192,candidate_vector_evaluations,exact_pass_path,1081_alpha_solves_x82_evaluations;validation;two_polarities
mv1,calibration_vector_evaluation_count,453234284036096,candidate_vector_evaluations,upper_bound,every_candidate_completes_pass_path
mv1,planning_calibration_vector_evaluation_count,428323129786368,candidate_vector_evaluations,upper_bound,every_planning_candidate_completes_pass_path
mv1,dgp_raw_word_count,3411784800000,uint64_words,upper_bound,all_candidate_cells_outer_eligible
mv1,planning_dgp_raw_word_count,3234816000000,uint64_words,upper_bound,all_planning_cells_outer_eligible
combined,candidate_cell_count,13285,cells,exact,reliability_plus_precalibration_mv1
combined,planning_candidate_cell_count,6720,cells,exact,reliability_plus_precalibration_mv1
combined,manifest_sha256,4e914a602b418c7fbbcccb1e98d9f09a3d339009e9c2befcdd098e34604695a0,sha256,exact,sorted_ids_newline_terminated
combined,canonical_id_payload_bytes,5423005,bytes,exact,utf8_ids_plus_newlines
combined,outer_dataset_count,1594200000,outer_datasets,upper_bound,all_mv_candidates_calibrate
